fixture_id,case_kind,candidate_id,construction_exception_id,disposition,expected_diagnostic,old_version,target_version,expected_fact_result
MIG-01,positive,projection-header,,candidate-only-no-write,,e2-old,e2-target,canonical-ir-equal-zero-fact-loss
MIG-02,positive,client-header,,candidate-only-no-write,,e2-old,e2-target,canonical-ir-equal-zero-fact-loss
MIG-03,positive,modeled-migration-header,,candidate-only-no-write,,e2-old,e2-target,canonical-ir-equal-zero-fact-loss
MIG-04,positive,consumer-header,,candidate-only-no-write,,e2-old,e2-target,canonical-ir-equal-zero-fact-loss
NEG-EXC-01,negative,,EXC-01,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-02,negative,,EXC-02,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-03,negative,,EXC-03,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-04,negative,,EXC-04,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-05,negative,,EXC-05,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-06,negative,,EXC-06,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-07,negative,,EXC-07,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-08,negative,,EXC-08,reject-unenumerated-relationship-header-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-09,negative,,EXC-09,reject-no-generic-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-10,negative,,EXC-10,reject-no-ordered-statement-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-11,negative,,EXC-11,reject-no-control-flow-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-12,negative,,EXC-12,reject-no-recursive-selection-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-13,negative,,EXC-13,reject-no-profile-path-rewrite,AIDL-R006,e2-old,e2-target,no-write
NEG-EXC-14,negative,,EXC-14,reject-no-free-item-sublanguage-rewrite,AIDL-R006,e2-old,e2-target,no-write
